常人感冒-风寒感冒,荆防败毒散或荆防达表汤,银翘散或葱豉桔梗汤,新加香薷饮,参苏饮,三拗汤合止嗽散,"|","notmastered","0","0"
常人感冒-风热感冒,银翘散或葱豉桔梗汤,荆防败毒散或荆防达表汤,桑菊饮,麻杏石甘汤,加减葳蕤汤,"|","notmastered","0","0"
常人感冒-暑湿感冒,新加香薷饮,藿香正气散,六一散,参苏饮,荆防败毒散,"|","notmastered","0","0"
虚体感冒-气虚感冒,参苏饮,玉屏风散,补中益气汤,加减葳蕤汤,麻黄附子细辛汤,"|","notmastered","0","0"
虚体感冒-阴虚感冒,加减葳蕤汤,沙参麦冬汤,百合固金汤,参苏饮,麻黄附子细辛汤,"|","notmastered","0","0"
虚体感冒-阳虚感冒,麻黄附子细辛汤,再造散,参附汤,加减葳蕤汤,荆防败毒散,"|","notmastered","0","0"
外感咳嗽-风寒袭肺,三拗汤合止嗽散,荆防败毒散,桑菊饮,杏苏散,金沸草散,"|","notmastered","0","0"
外感咳嗽-风热犯肺,桑菊饮,银翘散,桑杏汤,清金化痰汤,三拗汤合止嗽散,"|","notmastered","0","0"
外感咳嗽-风燥伤肺,桑杏汤,清燥救肺汤,麦门冬汤,杏苏散,沙参麦冬汤,"|","notmastered","0","0"
内伤咳嗽-痰湿蕴肺,二陈平胃散合三子养亲汤,苓桂术甘汤,三子养亲汤,清金化痰汤,导痰汤,"|","notmastered","0","0"
内伤咳嗽-痰热郁肺,清金化痰汤,桑白皮汤,黛蛤散合黄芩泻白散,二陈平胃散合三子养亲汤,小陷胸汤,"|","notmastered","0","0"
内伤咳嗽-肝火犯肺,黛蛤散合黄芩泻白散,龙胆泻肝汤,清金化痰汤,丹栀逍遥散,泻白散,"|","notmastered","0","0"
内伤咳嗽-肺阴亏耗,沙参麦冬汤,百合固金汤,麦门冬汤,清燥救肺汤,二陈平胃散合三子养亲汤,"|","notmastered","0","0"
哮病发作期-冷哮证,射干麻黄汤或小青龙汤,麻黄汤,定喘汤,三子养亲汤,苏子降气汤,"|","notmastered","0","0"
哮病发作期-热哮证,定喘汤或越婢加半夏汤,麻杏石甘汤,射干麻黄汤,小青龙加石膏汤,清金化痰汤,"|","notmastered","0","0"
哮病发作期-寒包热哮,小青龙加石膏汤或厚朴麻黄汤,大青龙汤,定喘汤,射干麻黄汤,麻杏石甘汤,"|","notmastered","0","0"
哮病发作期-风痰哮证,三子养亲汤加味,二陈汤,导痰汤,定喘汤,射干麻黄汤,"|","notmastered","0","0"
哮病缓解期-虚哮证,平喘固本汤,玉屏风散,补中益气汤,六君子汤,都气丸,"|","notmastered","0","0"
哮病缓解期-肺脾气虚,六君子汤,参苓白术散,补中益气汤,生脉地黄汤合金水六君煎,平喘固本汤,"|","notmastered","0","0"
哮病缓解期-肺肾两虚,生脉地黄汤合金水六君煎,金匮肾气丸合都气丸,七味都气丸,六君子汤,麦味地黄丸,"|","notmastered","0","0"
实喘-风寒壅肺,麻黄汤合华盖散,三拗汤,杏苏散,小青龙汤,麻杏石甘汤,"|","notmastered","0","0"
实喘-表寒肺热,麻杏石甘汤加味,大青龙汤,桑白皮汤,定喘汤,麻黄汤合华盖散,"|","notmastered","0","0"
实喘-痰热郁肺,桑白皮汤,清金化痰汤,定喘汤,麻杏石甘汤,二陈汤合三子养亲汤,"|","notmastered","0","0"
实喘-痰浊阻肺,二陈汤合三子养亲汤,导痰汤,苏子降气汤,桑白皮汤,五磨引子,"|","notmastered","0","0"
实喘-肺气郁闭,五磨引子,四磨汤,柴胡疏肝散,二陈汤合三子养亲汤,苏子降气汤,"|","notmastered","0","0"
虚喘-肺气虚耗,生脉散合补肺汤,补中益气汤,玉屏风散,金匮肾气丸合参蛤散,人参蛤蚧散,"|","notmastered","0","0"
虚喘-肾虚不纳,金匮肾气丸合参蛤散,七味都气丸,右归丸,生脉散合补肺汤,参附汤,"|","notmastered","0","0"
虚喘-正虚喘脱,参附汤送服黑锡丹，配合蛤蚧粉,四逆加人参汤,生脉散,独参汤,金匮肾气丸,"|","notmastered","0","0"
肺痨-肺阴亏损,月华丸,百合固金汤,沙参麦冬汤,补肺阿胶汤,一贯煎,"|","notmastered","0","0"
肺痨-虚火灼肺,百合固金汤合秦艽鳖甲散,清骨散,滋阴降火汤,月华丸,保真汤,"|","notmastered","0","0"
肺痨-气阴耗伤,保真汤或参苓白术散,生脉散,补中益气汤,百合固金汤,补天大造丸,"|","notmastered","0","0"
肺痨-阴阳两虚,补天大造丸,右归丸合左归丸,大补元煎,保真汤,月华丸,"|","notmastered","0","0"
肺胀-外寒里饮,小青龙汤,苓桂术甘汤,射干麻黄汤,真武汤合五苓散,苏子降气汤,"|","notmastered","0","0"
肺胀-痰浊壅肺,苏子降气汤合三子养亲汤,二陈汤,定喘汤,小青龙汤,涤痰汤,"|","notmastered","0","0"
肺胀-痰热郁肺,越婢加半夏汤或桑白皮汤,定喘汤,清金化痰汤,小青龙汤,涤痰汤,"|","notmastered","0","0"
肺胀-痰蒙神窍,涤痰汤,安宫牛黄丸,温胆汤,越婢加半夏汤,菖蒲郁金汤,"|","notmastered","0","0"
肺胀-阳虚水泛,真武汤合五苓散,苓桂术甘汤,实脾散,小青龙汤,济生肾气丸,"|","notmastered","0","0"
肺胀-肺肾气虚,平喘固本汤合补肺汤,人参蛤蚧散,金匮肾气丸,补中益气汤,真武汤,"|","notmastered","0","0"
心悸-心虚胆怯,安神定志丸,酸枣仁汤,归脾汤,天王补心丹,朱砂安神丸,"|","notmastered","0","0"
心悸-心血不足,归脾汤,养心汤,人参养荣汤,安神定志丸,苓桂术甘汤,"|","notmastered","0","0"
心悸-心阳不振,桂枝甘草龙骨牡蛎汤合参附汤,苓桂术甘汤,保元汤,归脾汤,天王补心丹,"|","notmastered","0","0"
